Symbol,Company Name,LTP,% Change,Open,High,Low,Quantity,Trend
NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,777.0,0.91,778.0,765.0,766.0,4107,increase
NWCL,Nepal Warehousing Company Limited,839.0,2.44,841.0,815.0,815.0,3481,increase
NYADI,Nyadi Hydropower Limited,405.0,-0.49,410.0,398.9,398.9,7322,decrease
OHL,Oriental Hotels Limited,741.0,2.49,752.0,709.0,709.0,23303,increase
OMPL,Om Megashree Pharmaceuticals Limited,1247.0,5.77,1264.0,1160.0,1160.0,38132,increase
PBD88,10% Prime Debenture 2088,1233.0,5.29,1233.0,1173.1,1173.1,277,increase
PBLD84,10% Prabhu Bank Debenture 2084 ,1125.0,-0.62,1130.5,1125.0,1130.5,166,decrease
PCBL,Prime Commercial Bank Ltd.,257.0,1.26,257.8,251.0,255.0,107302,increase
PFL,Pokhara Finance Ltd.,384.0,-1.03,388.6,380.0,388.0,11145,decrease
PHCL,Peoples Hydropower Company Limited,287.0,-1.2,294.0,285.0,294.0,147786,decrease
PMHPL,Panchakanya Mai Hydropower Ltd,349.0,-1.97,363.1,343.1,363.1,31383,decrease
PMLI,Prabhu Mahalaxmi Life Insurance Limited,525.1,1.18,529.3,512.1,529.3,40250,increase
PPCL,Panchthar Power Company Limited,343.0,0.0,346.0,338.0,346.0,45692,no-change
PPL,People,351.0,-1.93,364.9,348.0,357.0,250731,decrease
PRIN,Prabhu Insurance Ltd.,682.2,0.32,690.0,679.0,690.0,9834,increase
PROFL,Progressive Finance Limited,468.0,0.43,469.9,461.0,466.0,8760,increase
PRSF,Prabhu Smart Fund,10.42,1.56,10.45,10.3,10.45,107600,increase
PRVU,Prabhu Bank Limited,199.8,2.94,200.9,192.0,192.0,180485,increase
PSF,Prabhu Select Fund,10.4,0.97,10.52,10.32,10.32,64370,increase
PURE,Pure Energy Ltd.,900.0,5.25,902.0,842.0,842.0,54309,increase
RADHI,Radhi Bidyut Company Ltd,744.9,-0.55,763.9,743.0,763.9,111779,decrease
RAWA,Rawa Energy Development Limited,725.0,-2.29,755.9,713.2,727.2,967,decrease
RBBD2088,7% RBBL Debenture 2088 ,1063.1,-1.06,1063.1,1063.1,1063.1,25,decrease
RBCL,Rastriya Beema Company Limited,15150.1,0.33,15299.0,15100.1,15100.1,352,increase
RBCLPO,Rastriya Beema Company Limited Promoter Share,11983.6,-1.96,12199.6,11981.0,11981.0,620,decrease
RFPL,River Falls Power Limited,414.0,5.5,416.1,392.0,392.0,248083,increase
RHGCL,Rapti Hydro and General Construction Limited,273.8,-0.8,281.1,271.6,278.0,95573,decrease
RHPL,RASUWAGADHI HYDROPOWER COMPANY LIMITED,271.8,1.61,271.8,267.6,271.8,26525,increase
RIDI,Ridi Power Company Limited,231.7,-0.13,236.0,230.1,235.0,114618,decrease
RLFL,Reliance Finance Ltd.,434.0,-1.36,439.0,427.0,439.0,11386,decrease
RMF1,RBB Mutual Fund 1,9.21,2.11,9.21,8.85,9.03,1800,increase
RMF2,RBB Mutual Fund 2,9.25,0.87,9.25,9.15,9.15,16300,increase
RNLI,Reliable Nepal Life Insurance Limited,503.8,1.29,509.0,489.3,489.3,263563,increase
RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,679.9,3.02,685.0,660.0,660.0,38330,increase
RSY,Reliable Samriddhi Yojana,9.0,1.47,9.01,8.83,9.0,2100,increase
RURU,Ru Ru Jalbidhyut Pariyojana Limited,760.0,1.74,760.0,745.0,750.0,16583,increase
SADBL,Shangrila Development Bank Ltd.,417.0,0.02,417.4,411.6,417.4,50083,increase
SAGAR,Sagar Distillery Limited,1333.2,10.0,1333.2,1236.2,1236.2,2870,increase
SAGF,Sanima Growth Fund,9.52,3.93,9.52,9.16,9.16,6700,increase
SAHAS,Sahas Urja Limited,565.5,-0.04,571.0,562.0,570.0,72605,decrease
SAIL,Shreenagar Agritech Industries Limited,441.4,9.99,441.4,409.3,409.3,490,increase
