Symbol,Company Name,LTP,% Change,Open,High,Low,Quantity,Trend
HHL,Himalayan Hydropower Limited,360.0,4.65,363.0,345.0,345.0,122172,increase
HIDCL,Hydorelectricity Investment and Development Company Ltd,278.0,-0.71,281.8,277.0,277.4,234751,decrease
HIDCLP,Hydroelectricity Investment and Development Company Limited Promoter Share,190.0,1.01,191.5,188.2,189.7,228894,increase
HIMSTAR,Him Star Urja Company Limited,865.0,-7.78,973.0,865.0,919.3,44361,decrease
HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,940.0,-1.36,941.0,934.0,941.0,3140,decrease
HLI,Himalayan Life Insurance Limited,389.9,-0.1,391.9,386.1,390.3,73269,decrease
HLICF,HLI Large Cap Fund,9.15,0.44,9.2,9.0,9.0,4100,increase
HPPL,Himalayan Power Partner Ltd.,480.3,0.46,515.0,468.9,468.9,102213,increase
HRL,Himalayan Reinsurance Limited,870.0,0.0,887.4,863.0,887.4,182927,no-change
HURJA,Himalaya Urja Bikas Company Limited,231.7,0.35,232.5,230.0,230.1,64456,increase
ICFC,ICFC Finance Limited,643.0,-0.31,644.0,640.0,641.0,5242,decrease
ICFCD88,9% ICFC Finance Limited Debenture-2088,1125.3,1.99,1125.0,1125.0,1125.0,28,increase
IGI,IGI Prudential Insurance Company Limited,428.0,-0.44,432.0,424.1,428.7,10880,decrease
IHL,Ingwa Hydropower Limited,560.0,-0.18,561.8,548.0,551.0,7297,decrease
ILBS,Infinity Laghubitta Bittiya Sanstha Limited,1134.0,-0.26,1135.9,1123.0,1135.0,8736,decrease
ILI,IME Life Insurance Company Limited,480.0,0.84,480.0,475.0,478.0,56766,increase
JBBL,Jyoti Bikas Bank Limited,328.0,1.08,331.3,318.1,318.1,76573,increase
JBLB,Jeevan Bikas Laghubitta Bittiya Sanstha Limited,1542.0,-1.15,1569.0,1541.0,1555.0,12587,decrease
JBLBP,Jeevan Bikas Laghubitta Bittiya Sanstha Limited Promoter Share,100.0,0.0,100.0,100.0,100.0,2200,no-change
JFL,Janaki Finance Ltd.,427.0,-1.39,436.0,426.5,430.0,10665,decrease
JHAPA,Jhapa Energy Limited,733.4,9.99,733.4,680.1,680.1,940,increase
JOSHI,Joshi Hydropower Development Company Ltd,344.1,-3.61,377.6,337.2,349.9,199337,decrease
JSLBB,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,1267.0,2.05,1308.0,1192.4,1259.9,2019,increase
KBL,Kumari Bank Limited,190.0,2.21,191.0,184.0,188.0,264626,increase
KBLD89,11% KBL Debenture 2089,1335.0,3.09,1335.0,1269.1,1269.1,185,increase
KBLPO,Kumari Bank Limited Promotor Share,106.9,-1.93,109.0,106.9,109.0,10553,decrease
KBSH,Kutheli Bukhari Small Hydropower Limited,1795.0,0.84,1798.9,1753.0,1770.0,581,increase
KDBY,Kumari Dhanabriddhi Yojana,9.3,0.87,9.4,9.1,9.4,9060,increase
KDL,Kalinchowk Darshan Limited,914.0,-0.65,931.0,903.1,929.8,6970,decrease
KEF,Kumari Equity Fund,9.05,1.12,9.05,8.85,8.85,6500,increase
KKHC,Khanikhola Hydropower Co. Ltd.,256.0,0.79,258.0,253.6,254.0,9117,increase
KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,1036.0,0.39,1036.0,1011.4,1011.4,1851,increase
KPCL,Kalika power Company Ltd,553.0,-1.07,561.0,550.3,561.0,38828,decrease
KSBBL,Kamana Sewa Bikas Bank Limited,444.0,0.91,444.0,434.0,440.0,20058,increase
KSBBLD87,9% Kamana Sewa Bikas Bank Limited Debenture 2087,1154.6,-1.99,1178.1,1178.1,1178.1,5,decrease
KSY,Kumari Sabal Yojana,8.8,-0.11,8.8,8.65,8.65,1400,decrease
LBBL,Lumbini Bikas Bank Ltd.,457.0,-1.3,467.0,455.0,465.0,115175,decrease
LBBLD89,11% L.B.B.L. Debenture 2089,1330.0,2.3,1330.0,1320.0,1320.0,280,increase
LBLD88,8.5% Laxmi Bank Debenture 2088,1100.0,0.0,1100.0,1100.0,1100.0,25,no-change
LEC,Liberty Energy Company Limited,199.5,1.27,201.9,197.0,200.9,72822,increase
LICN,Life Insurance Co. Nepal,935.1,-0.96,948.0,930.0,941.1,50284,decrease
LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,998.0,-1.67,1024.0,976.0,1024.0,363,decrease
LSL,Laxmi Sunrise Bank Limited,237.9,1.15,240.0,235.2,235.2,297987,increase
LUK,Laxmi unnati Kosh,9.28,-0.75,9.35,9.17,9.17,600,decrease
LVF2,Laxmi Value Fund 2,9.17,3.15,9.3,8.85,8.85,6550,increase
MABEL,Mabilung Energy Limited,670.0,-0.74,677.0,653.1,661.5,44648,decrease
MAKAR,Makar Jitumaya Suri Hydropower Limited,568.0,-0.16,573.5,560.0,561.0,4190,decrease
MANDU,Mandu Hydropower Ltd.,810.0,0.14,820.0,796.0,802.0,2119,increase
MATRI,Matribhumi Laghubitta Bittiya Sanstha Limited ,951.8,-2.88,980.0,951.8,962.0,860,decrease
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,284.2,-0.98,291.9,283.1,291.9,26544,decrease
MBL,Machhapuchchhre Bank Limited,225.0,2.09,226.0,216.0,224.8,94398,increase
MBLD2085,10.25% Machhapuchhre Bank Debenture 2085,1200.0,-1.64,1200.0,1200.0,1200.0,100,decrease
MBLEF,MBL Equity Fund,9.03,-1.31,9.17,8.86,9.0,3900,decrease
MCHL,Menchhiyam Hydropower Limited,490.0,0.04,494.0,483.0,485.0,4960,increase
MDB,Miteri Development Bank Limited,582.1,-0.17,590.0,580.0,581.5,11515,decrease
MEHL,Manakamana Engineering Hydropower Limited,442.0,0.48,445.0,427.0,436.0,25022,increase
MEL,Modi Energy Limited,296.0,-0.54,300.0,292.0,299.0,16582,decrease
MEN,Mountain Energy Nepal Limited,670.1,-0.93,680.0,670.1,680.0,102903,decrease
MERO,Meromicrofinance Laghubitta Bittiya Sanstha Ltd.,782.0,-0.39,800.8,776.5,798.0,12765,decrease
MFIL,Manjushree Finance Ltd.,603.0,0.17,613.9,590.0,613.9,18968,increase
MHCL,Molung Hydropower Company Limited,404.3,-0.64,407.9,401.0,401.0,9618,decrease
MHL,Mandakini Hydropower Limited,519.2,2.16,524.0,509.2,510.1,50178,increase
MHNL,Mountain Hydro Nepal Limited,251.3,-1.06,258.0,250.5,250.5,24169,decrease
MKCL,Muktinath Krishi Company Limited,1408.0,0.5,1420.0,1400.2,1408.0,5130,increase
MKHC,Maya Khola Hydropower Company Limited,394.0,-2.96,408.7,390.0,397.9,8762,decrease
MKHL,Mai Khola Hydropower Limited,822.8,-1.74,854.0,791.1,821.5,1358,decrease
